X,Y,OBJECTID,PNT,CTGY,Y_WGS_84,X_WGS_84,HGHT,RMRK,SRC,HGHT_SRC,STS
2058573.72845328,-3969689.06308085,37600,104CB10,3,-47128.25,-3714820.26,190.497,,19,18,2
2068214.22956287,-4021986.13816688,37601,104DC17,3,-38909.44,-3758109.13,37.573,,19,18,2
2097498.96237342,-4039135.53612532,37602,105B7(62),3,-14569.44,-3772205.18,,Demolished,0,,1
2084010.05108553,-4031440.61852134,37603,105BA5,3,-25771.23,-3765875.99,15.506,,19,18,2
2058623.33896895,-3969956.29752433,37604,105CB10,3,-47085.78,-3715041.94,187.083,,19,18,2
2076395.41608136,-4012443.64623516,37605,105DC14,3,-32142.42,-3750192.88,125.721,,19,18,2
2076255.32872172,-4021399.83381103,37606,105DC19,3,-32233.7,-3757599.45,55.913,,19,18,2
2083628.35072357,-4031644.37711461,37607,106BA5,3,-26087.47,-3766045.14,14.853,,19,18,2
2058197.89228272,-3969431.95409751,37608,106CB10,3,-47442.82,-3714608.32,192.319,,19,18,2
2067203.69247468,-4019788.8950382,37609,106DC17,3,-39756.21,-3756296.25,27.743,,19,18,2
2076518.18628665,-4021270.9343817,37610,106DC19,3,-32015.77,-3757492.16,55.383,,19,18,2
2083574.61619293,-4031759.98384831,37611,107BA5,3,-26131.79,-3766140.74,14.647,,19,18,2
2097565.37140638,-4040590.16851486,37612,107BB7,3,-14512.53,-3773405.59,25.37,,19,18,2
2058144.84893565,-3969238.87560356,37613,107CB10,3,-47487.86,-3714448.22,194.398,,19,18,2
2076721.57318251,-4012365.05190963,37614,107DC14,3,-31871.57,-3750126.95,118.476,Demolished,19,18,1
2067212.75526787,-4019512.45041787,37615,107DC17,3,-39749.64,-3756067.67,27.827,,19,18,2
2076768.40466508,-4021290.50686309,37616,107DC19,3,-31807.92,-3757507.64,54.339,,19,18,2
2097084.90161197,-4038753.81480823,37617,108B7(62),3,-14913.26,-3771890.66,,Demolished,0,,1
2083496.39010954,-4031411.94569458,37618,108BA5,3,-26197.49,-3765853.48,15.694,,19,18,2
2097680.8046616,-4039804.78227677,37619,108BB7,3,-14417.82,-3772757.29,39.656,,19,18,2
2058300.18288756,-3969186.8224167,37620,108CB10,3,-47358.49,-3714404.36,195.128,,19,18,2
2067029.13384194,-4015110.95179319,37621,108DC12,3,-39917.45,-3752428.67,36.534,,19,18,2
2067133.3555774,-4019310.18306474,37622,108DC17,3,-39816.29,-3755900.72,28.758,,19,18,2
2076905.74903089,-4021435.88471753,37623,108DC19,3,-31693.46,-3757627.43,53.036,,19,18,2
2096519.68865035,-4038513.7407455,37624,109B7(62),3,-15382.25,-3771693.26,,Demolished,0,,1
2083291.07485872,-4031331.36291705,37625,109BA5,3,-26368.03,-3765787.4,16.572,,19,18,2
2058222.10394114,-3968938.76833865,37626,109CB10,3,-47424.64,-3714198.71,197.494,,19,18,2
2067016.39437583,-4019116.98863717,37627,109DC17,3,-39914.11,-3755741.4,29.223,,19,18,2
