google_address,google_place_id,google_latitude,google_longitude,google_rating,google_primary_type,google_open_now,google_monday_hours,google_tuesday_hours,google_wednesday_hours,google_thursday_hours,google_friday_hours,google_saturday_hours,google_sunday_hours,x,y,feature_x,feature_y,nearest_x,nearest_y
"2 Riebeek Street, 2504 Foreshore Place, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJ4-X6Wz0LlR4R4f2PYXPhYMs,-33.9204019,18.42431,4.9,,,,,,,,,,2050955.7881183,-4018151.68671467,18.42431,-33.9204019,18.4240987987348,-33.9206831148577
"Shop 10b, Foreshore Building, 2a Riebeek St, Foreshore, Cape Town, 8001, South Africa",ChIJOTZpswxnzB0RRqdKXw-SiiY,-33.9204019,18.42431,3.2,coffee_shop,,,,,,,,,2050955.7881183,-4018151.68671467,18.42431,-33.9204019,18.4240987987348,-33.9206831148577
"26th Floor, 4 Adderley St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJzevx52NnzB0R9ZdrSWygbGM,-33.9203401,18.4243136,1,,,,,,,,,,2050943.27891761,-4018094.93118202,18.4243136,-33.9203401,18.4240809177451,-33.9200884572264
"2 Riebeek St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJuxDVtmRnzB0RKkBjF0BznU0,-33.9204512,18.4243592,3.9,,1,8:00 AM – 3:00 PM,8:00 AM – 3:00 PM,8:00 AM – 3:00 PM,8:00 AM – 3:00 PM,8:00 AM – 3:00 PM,Closed,Closed,2051041.45669404,-4018123.29309569,18.4243592,-33.9204512,18.4245687996397,-33.9206714655751
"1 St Georges Mall, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJbQXre2FnzB0R6gqcsb-Q4VQ,-33.920323,18.424183,3.7,hotel,,,,,,,,,2050943.27891761,-4018094.93118202,18.424183,-33.920323,18.4240183191745,-33.9201468140905
"Shop 3&4 (Ground Floor, Foreshore Place, 2 Riebeek St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJK-HIqUBnzB0RhAoYpl7u88o,-33.9204512,18.4243592,4.9,dentist,1,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,9:00 AM – 1:00 PM,Closed,2051041.45669404,-4018123.29309569,18.4243592,-33.9204512,18.4245687996397,-33.9206714655751
"Cape Town City Centre, Cape Town, 8000, South Africa",ChIJ5RapyRZnzB0RL7Ypl1GYBYI,-33.9204836,18.4247126,,general_contractor,,,,,,,,,2051041.45669404,-4018123.29309569,18.4247126,-33.9204836,18.4247381940273,-33.9205106492843
"4 Adderley St, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJNalvH7pnzB0R2ms9YCQ7UFk,-33.92028,18.42461,,nail_salon,1,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,9:00 AM – 6:00 PM,Closed,2051041.45669404,-4018123.29309569,18.42461,-33.92028,18.4247857044801,-33.9204656949034
"4 Adderley St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJ6cOleGFnzB0R8kZJJJXE8KQ,-33.92028,18.4246101,,health,,,,,,,,,2051041.45669404,-4018123.29309569,18.4246101,-33.92028,18.4247857572424,-33.9204656449797
"4 Adderley St, Cape Town City Centre, Cape Town, 8000, South Africa",ChIJ58OleGFnzB0R5Fu3T8HkIiE,-33.92028,18.42461,,point_of_interest,,,,,,,,,2051041.45669404,-4018123.29309569,18.42461,-33.92028,18.4247857044801,-33.9204656949034
"Riebeek Street 2, South, Cape Town, 8000, South Africa",ChIJ-XSPfmFnzB0REcEKZ3b7fLk,-33.9204869,18.424343,,lodging,,,,,,,,,2051041.45669404,-4018123.29309569,18.424343,-33.9204869,18.4245424698933,-33.9206965203544
"Riebeek Street 2, South, Cape Town, 8000, South Africa",ChIJ-XSPfmFnzB0RgvQhZzU9wVc,-33.9204869,18.424343,,lodging,,,,,,,,,2051041.45669404,-4018123.29309569,18.424343,-33.9204869,18.4245424698933,-33.9206965203544
"31 Martin Hammerschlag Way, Cape Town City Centre, Cape Town, 8001, South Africa",ChIJg96taYldzB0RIrqekZr6UZA,-33.9203755,18.4318933,5,travel_agency,,,,,,,,,2051799.40436379,-4018196.34842623,18.4318933,-33.9203755,18.4317912534198,-33.920268748408
